t[s],p1[Pa],p2[Pa],mobA[kg],immA[kg],dissA[kg],sealA[kg],mobB[kg],immB[kg],dissB[kg],sealB[kg],M_C[m],sealTot[kg]
0,0.0,0.7899920274635209,0.9947279177242306,0.6774147486434173,0.610812519090864,0.8947126100516665,0.6077229488852137,0.5425037437956388,0.7918997818007641,0.9013762426006514,0.1394179699739274,0.9514084107027962,0.8802098975472509
1,300.0,0.3520183068568017,0.09714501557164434,0.07523261399909631,0.241967365682221,0.871862024749766,0.242540105377261,0.6014874989633476,0.930097700704368,0.34920931587683335,0.6924060044938607,0.723374821664435,0.9227912746311511
2,600.0,0.5124342713592156,0.1742647943850475,0.9755895261523266,0.5416882984130736,0.13487461034873616,0.07593595481840243,0.5754534607552518,0.9059051293120097,0.01592841492362762,0.13966394438647023,0.21591525849447135,0.4779500947639994
3,900.0,0.07522120813870392,0.2799597085411287,0.8782822511609184,0.3475313486428566,0.9906826930568583,0.0025045713078991616,0.6369478060150379,0.8865191486322961,0.5274679411728977,0.040846868979905526,0.7410635485462231,0.6405711266043741
4,1200.0,0.9785670776631044,0.2508198431453802,0.2417436529840381,0.9705060002927852,0.11689653643784581,0.5384997654870821,0.943173242595552,0.5496704343498466,0.3402165275974087,0.3436578761339526,0.9620478218585641,0.7959159582907287
5,1500.0,0.4000591434652079,0.5605261353214538,0.8440821219434633,0.18482001533071746,0.4643083850742167,0.10061090300665299,0.7634795192548838,0.8085735461818594,0.3494596499900806,0.19306601993385697,0.624137231442765,0.23337915802965048
6,1800.0,0.9407031770947822,0.003176654998020778,0.22678082092704932,0.536492618455137,0.14805767003159453,0.9974473047582081,0.7511829615433386,0.303307141505174,0.15779044604811154,0.9332671415946314,0.3112892074074811,0.25161050633856397
7,2100.0,0.8381332360630644,0.5673321220691222,0.4634527524317532,0.020294260063071,0.03567559906702655,0.8417653507198092,0.10969576047998542,0.7285895837779931,0.8205764928681067,0.6256262037475036,0.9154241352599226,0.864106176133888
8,2400.0,0.21642039748409003,0.7893308468282827,0.5128369957579626,0.9373385661441876,0.6137065604002769,0.5291825897207602,0.5250498356174644,0.411071440971426,0.09530510743189746,0.37748921470815233,0.7015983788027712,0.9368724069479625
9,2700.0,0.9003427597766196,0.18861504678032748,0.2663732682575416,0.882951963761451,0.9164564017310648,0.10300341380997236,0.23726766051280013,0.4743858498440784,0.21415171759909846,0.8142529125772768,0.9833913807292984,0.04500467971948874
